trade_date,timestamp,underlier,state,strike,ce_instrument,ce_entry_price,ce_entry_timestamp,pe_instrument,pe_entry_price,pe_entry_timestamp,trigger
2022-11-10,2022-11-10 09:30:41,NIFTY,HOLDING,16000.0,NIFTY22111016000CE,2065.0,2022-11-10 09:30:41,NIFTY22111016000PE,0.35,2022-11-10 09:30:41,ENTRY
2022-11-10,2022-11-10 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-10,2022-11-10 09:56:44,BANKNIFTY,HOLDING,35000.0,BANKNIFTY22111035000CE,6520.0,2022-11-10 09:56:44,BANKNIFTY22111035000PE,0.75,2022-11-10 09:56:44,ENTRY
2022-11-10,2022-11-10 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-11,2022-11-11 10:31:08,NIFTY,HOLDING,16000.0,NIFTY22111716000CE,2315.0,2022-11-11 10:31:08,NIFTY22111716000PE,0.8,2022-11-11 10:31:08,ENTRY
2022-11-11,2022-11-11 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-11,2022-11-11 11:48:30,BANKNIFTY,HOLDING,37500.0,BANKNIFTY22111737500CE,4650.0,2022-11-11 11:48:30,BANKNIFTY22111737500PE,3.65,2022-11-11 11:48:30,ENTRY
2022-11-11,2022-11-11 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-14,2022-11-14 09:16:54,NIFTY,HOLDING,16000.0,NIFTY22111716000CE,2368.8,2022-11-14 09:16:54,NIFTY22111716000PE,0.85,2022-11-14 09:16:54,ENTRY
2022-11-14,2022-11-14 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-14,2022-11-14 09:16:05,BANKNIFTY,HOLDING,37000.0,BANKNIFTY22111737000CE,5104.3,2022-11-14 09:16:05,BANKNIFTY22111737000PE,2.75,2022-11-14 09:16:05,ENTRY
2022-11-14,2022-11-14 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-15,2022-11-15 09:46:59,NIFTY,HOLDING,16500.0,NIFTY22111716500CE,1830.0,2022-11-15 09:46:59,NIFTY22111716500PE,0.8,2022-11-15 09:46:59,ENTRY
2022-11-15,2022-11-15 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-15,2022-11-15 09:18:51,BANKNIFTY,HOLDING,47000.0,BANKNIFTY22111747000CE,3.4,2022-11-15 09:18:51,BANKNIFTY22111747000PE,4761.65,2022-11-15 09:18:51,ENTRY
2022-11-15,2022-11-15 15:22:55,BANKNIFTY,HOLDING,38000.0,BANKNIFTY22111738000CE,4260.0,2022-11-15 15:22:55,BANKNIFTY22111738000PE,3.25,2022-11-15 15:22:55,ROLL
2022-11-15,2022-11-15 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-16,2022-11-16 12:09:10,NIFTY,HOLDING,16350.0,NIFTY22111716350CE,2049.0,2022-11-16 12:09:10,NIFTY22111716350PE,1.1,2022-11-16 12:09:10,ENTRY
2022-11-16,2022-11-16 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-16,2022-11-16 10:48:34,BANKNIFTY,HOLDING,37500.0,BANKNIFTY22111737500CE,4990.0,2022-11-16 10:48:34,BANKNIFTY22111737500PE,3.5,2022-11-16 10:48:34,ENTRY
2022-11-16,2022-11-16 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-17,2022-11-17 12:21:58,NIFTY,HOLDING,15200.0,NIFTY22111715200CE,3216.8,2022-11-17 12:21:58,NIFTY22111715200PE,0.2,2022-11-17 12:21:58,ENTRY
2022-11-17,2022-11-17 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-17,2022-11-17 10:01:34,BANKNIFTY,HOLDING,35000.0,BANKNIFTY22111735000CE,7525.0,2022-11-17 10:01:34,BANKNIFTY22111735000PE,1.4,2022-11-17 10:01:34,ENTRY
2022-11-17,2022-11-17 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-18,2022-11-18 09:19:45,NIFTY,HOLDING,14500.0,NIFTY22112414500CE,3875.0,2022-11-18 09:19:45,NIFTY22112414500PE,0.75,2022-11-18 09:19:45,ENTRY
2022-11-18,2022-11-18 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-18,2022-11-18 13:53:53,BANKNIFTY,HOLDING,30000.0,BANKNIFTY22112430000CE,12300.0,2022-11-18 13:53:53,BANKNIFTY22112430000PE,1.7,2022-11-18 13:53:53,ENTRY
2022-11-18,2022-11-18 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-21,2022-11-21 09:28:14,NIFTY,HOLDING,14500.0,NIFTY22112414500CE,3710.0,2022-11-21 09:28:14,NIFTY22112414500PE,0.5,2022-11-21 09:28:14,ENTRY
2022-11-21,2022-11-21 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-21,2022-11-21 13:18:53,BANKNIFTY,HOLDING,30000.0,BANKNIFTY22112430000CE,12250.0,2022-11-21 13:18:53,BANKNIFTY22112430000PE,1.65,2022-11-21 13:18:53,ENTRY
2022-11-21,2022-11-21 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-22,2022-11-22 09:17:04,NIFTY,HOLDING,14500.0,NIFTY22112414500CE,3689.95,2022-11-22 09:17:04,NIFTY22112414500PE,0.35,2022-11-22 09:17:04,ENTRY
2022-11-22,2022-11-22 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-22,2022-11-22 11:02:05,BANKNIFTY,HOLDING,30000.0,BANKNIFTY22112430000CE,12380.0,2022-11-22 11:02:05,BANKNIFTY22112430000PE,1.5,2022-11-22 11:02:05,ENTRY
2022-11-22,2022-11-22 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-23,2022-11-23 09:23:47,NIFTY,HOLDING,14500.0,NIFTY22112414500CE,3825.0,2022-11-23 09:23:47,NIFTY22112414500PE,0.35,2022-11-23 09:23:47,ENTRY
2022-11-23,2022-11-23 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-23,2022-11-23 10:27:58,BANKNIFTY,HOLDING,30000.0,BANKNIFTY22112430000CE,12750.0,2022-11-23 10:27:58,BANKNIFTY22112430000PE,1.1,2022-11-23 10:27:58,ENTRY
2022-11-23,2022-11-23 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-24,2022-11-24 09:21:48,NIFTY,HOLDING,14500.0,NIFTY22112414500CE,3803.8,2022-11-24 09:21:48,NIFTY22112414500PE,0.2,2022-11-24 09:21:48,ENTRY
2022-11-24,2022-11-24 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-24,2022-11-24 09:26:31,BANKNIFTY,HOLDING,30000.0,BANKNIFTY22112430000CE,12820.0,2022-11-24 09:26:31,BANKNIFTY22112430000PE,0.45,2022-11-24 09:26:31,ENTRY
2022-11-24,2022-11-24 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-25,2022-11-25 10:12:23,NIFTY,HOLDING,16000.0,NIFTY22120116000CE,2492.05,2022-11-25 10:12:23,NIFTY22120116000PE,0.7,2022-11-25 10:12:23,ENTRY
2022-11-25,2022-11-25 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-25,2022-11-25 09:20:12,BANKNIFTY,HOLDING,38000.0,BANKNIFTY22120138000CE,5163.05,2022-11-25 09:20:12,BANKNIFTY22120138000PE,4.35,2022-11-25 09:20:12,ENTRY
2022-11-25,2022-11-25 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-28,2022-11-28 14:57:06,NIFTY,HOLDING,16000.0,NIFTY22120116000CE,2600.0,2022-11-28 14:57:06,NIFTY22120116000PE,0.65,2022-11-28 14:57:06,ENTRY
2022-11-28,2022-11-28 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-28,2022-11-28 12:15:25,BANKNIFTY,HOLDING,30000.0,BANKNIFTY22120130000CE,13211.0,2022-11-28 12:15:25,BANKNIFTY22120130000PE,1.7,2022-11-28 12:15:25,ENTRY
2022-11-28,2022-11-28 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-29,2022-11-29 13:17:29,NIFTY,HOLDING,16000.0,NIFTY22120116000CE,2667.3,2022-11-29 13:17:29,NIFTY22120116000PE,0.9,2022-11-29 13:17:29,ENTRY
2022-11-29,2022-11-29 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-29,2022-11-29 10:29:33,BANKNIFTY,HOLDING,30000.0,BANKNIFTY22120130000CE,13211.0,2022-11-29 10:29:33,BANKNIFTY22120130000PE,1.8,2022-11-29 10:29:33,ENTRY
2022-11-29,2022-11-29 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-30,2022-11-30 12:31:44,NIFTY,HOLDING,16300.0,NIFTY22120116300CE,2351.0,2022-11-30 12:31:44,NIFTY22120116300PE,0.55,2022-11-30 12:31:44,ENTRY
2022-11-30,2022-11-30 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-30,2022-11-30 15:02:37,BANKNIFTY,HOLDING,33000.0,BANKNIFTY22120133000CE,10200.0,2022-11-30 15:02:37,BANKNIFTY22120133000PE,1.35,2022-11-30 15:02:37,ENTRY
2022-11-30,2022-11-30 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
