trade_date,timestamp,underlier,state,strike,ce_instrument,ce_entry_price,ce_entry_timestamp,pe_instrument,pe_entry_price,pe_entry_timestamp,trigger
2022-11-10,2022-11-10 09:15:00,BANKNIFTY,HOLDING,41700.0,BANKNIFTY22111041700CE,77.3,2022-11-10 09:15:00,BANKNIFTY22111041700PE,200.0,2022-11-10 09:15:00,ENTRY
2022-11-10,2022-11-10 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-11,2022-11-11 09:15:01,NIFTY,HOLDING,18350.0,NIFTY22111718350CE,93.05,2022-11-11 09:15:01,NIFTY22111718350PE,142.65,2022-11-11 09:15:01,ENTRY
2022-11-11,2022-11-11 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-11,2022-11-11 09:15:00,BANKNIFTY,HOLDING,42200.0,BANKNIFTY22111742200CE,332.0,2022-11-11 09:15:00,BANKNIFTY22111742200PE,382.0,2022-11-11 09:15:00,ENTRY
2022-11-11,2022-11-11 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-14,2022-11-14 09:15:01,NIFTY,HOLDING,18450.0,NIFTY22111718450CE,67.8,2022-11-14 09:15:01,NIFTY22111718450PE,127.7,2022-11-14 09:15:01,ENTRY
2022-11-14,2022-11-14 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-14,2022-11-14 09:15:01,BANKNIFTY,HOLDING,42300.0,BANKNIFTY22111742300CE,228.6,2022-11-14 09:15:01,BANKNIFTY22111742300PE,335.45,2022-11-14 09:15:01,ENTRY
2022-11-14,2022-11-14 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-15,2022-11-15 09:15:00,NIFTY,HOLDING,18400.0,NIFTY22111718400CE,73.0,2022-11-15 09:15:00,NIFTY22111718400PE,94.3,2022-11-15 09:15:00,ENTRY
2022-11-15,2022-11-15 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-15,2022-11-15 09:15:00,BANKNIFTY,HOLDING,42300.0,BANKNIFTY22111742300CE,186.4,2022-11-15 09:15:00,BANKNIFTY22111742300PE,279.0,2022-11-15 09:15:00,ENTRY
2022-11-15,2022-11-15 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-16,2022-11-16 09:15:00,NIFTY,HOLDING,18450.0,NIFTY22111718450CE,42.25,2022-11-16 09:15:00,NIFTY22111718450PE,75.75,2022-11-16 09:15:00,ENTRY
2022-11-16,2022-11-16 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-16,2022-11-16 09:15:01,BANKNIFTY,HOLDING,42500.0,BANKNIFTY22111742500CE,121.5,2022-11-16 09:15:01,BANKNIFTY22111742500PE,238.3,2022-11-16 09:15:01,ENTRY
2022-11-16,2022-11-16 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-17,2022-11-17 09:15:00,NIFTY,HOLDING,18400.0,NIFTY22111718400CE,24.05,2022-11-17 09:15:00,NIFTY22111718400PE,67.2,2022-11-17 09:15:00,ENTRY
2022-11-17,2022-11-17 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-17,2022-11-17 09:15:00,BANKNIFTY,HOLDING,42500.0,BANKNIFTY22111742500CE,79.5,2022-11-17 09:15:00,BANKNIFTY22111742500PE,155.7,2022-11-17 09:15:00,ENTRY
2022-11-17,2022-11-17 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-18,2022-11-18 09:15:00,NIFTY,HOLDING,18400.0,NIFTY22112418400CE,114.65,2022-11-18 09:15:00,NIFTY22112418400PE,106.75,2022-11-18 09:15:00,ENTRY
2022-11-18,2022-11-18 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-18,2022-11-18 09:15:00,BANKNIFTY,HOLDING,42600.0,BANKNIFTY22112442600CE,294.0,2022-11-18 09:15:00,BANKNIFTY22112442600PE,322.6,2022-11-18 09:15:00,ENTRY
2022-11-18,2022-11-18 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-21,2022-11-21 09:15:00,NIFTY,HOLDING,18250.0,NIFTY22112418250CE,120.9,2022-11-21 09:15:00,NIFTY22112418250PE,79.05,2022-11-21 09:15:00,ENTRY
2022-11-21,2022-11-21 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-21,2022-11-21 09:15:00,BANKNIFTY,HOLDING,42400.0,BANKNIFTY22112442400CE,260.45,2022-11-21 09:15:00,BANKNIFTY22112442400PE,277.65,2022-11-21 09:15:00,ENTRY
2022-11-21,2022-11-21 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-22,2022-11-22 09:15:00,NIFTY,HOLDING,18200.0,NIFTY22112418200CE,82.9,2022-11-22 09:15:00,NIFTY22112418200PE,70.2,2022-11-22 09:15:00,ENTRY
2022-11-22,2022-11-22 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-22,2022-11-22 09:15:01,BANKNIFTY,HOLDING,42400.0,BANKNIFTY22112442400CE,222.25,2022-11-22 09:15:01,BANKNIFTY22112442400PE,165.4,2022-11-22 09:15:01,ENTRY
2022-11-22,2022-11-22 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-23,2022-11-23 09:15:00,NIFTY,HOLDING,18350.0,NIFTY22112418350CE,42.1,2022-11-23 09:15:00,NIFTY22112418350PE,73.15,2022-11-23 09:15:00,ENTRY
2022-11-23,2022-11-23 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-23,2022-11-23 09:15:00,BANKNIFTY,HOLDING,42600.0,BANKNIFTY22112442600CE,152.55,2022-11-23 09:15:00,BANKNIFTY22112442600PE,103.05,2022-11-23 09:15:00,ENTRY
2022-11-23,2022-11-23 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-24,2022-11-24 09:15:00,NIFTY,HOLDING,18300.0,NIFTY22112418300CE,42.45,2022-11-24 09:15:00,NIFTY22112418300PE,22.95,2022-11-24 09:15:00,ENTRY
2022-11-24,2022-11-24 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-24,2022-11-24 09:15:00,BANKNIFTY,HOLDING,42800.0,BANKNIFTY22112442800CE,81.25,2022-11-24 09:15:00,BANKNIFTY22112442800PE,99.2,2022-11-24 09:15:00,ENTRY
2022-11-24,2022-11-24 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-25,2022-11-25 09:15:02,NIFTY,HOLDING,18650.0,NIFTY22120118650CE,50.15,2022-11-25 09:15:02,NIFTY22120118650PE,165.75,2022-11-25 09:15:02,ENTRY
2022-11-25,2022-11-25 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-25,2022-11-25 09:15:02,BANKNIFTY,HOLDING,43300.0,BANKNIFTY22120143300CE,180.05,2022-11-25 09:15:02,BANKNIFTY22120143300PE,354.85,2022-11-25 09:15:02,ENTRY
2022-11-25,2022-11-25 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-28,2022-11-28 09:15:00,NIFTY,HOLDING,18550.0,NIFTY22120118550CE,36.95,2022-11-28 09:15:00,NIFTY22120118550PE,120.65,2022-11-28 09:15:00,ENTRY
2022-11-28,2022-11-28 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-28,2022-11-28 09:15:00,BANKNIFTY,HOLDING,43100.0,BANKNIFTY22120143100CE,149.0,2022-11-28 09:15:00,BANKNIFTY22120143100PE,332.15,2022-11-28 09:15:00,ENTRY
2022-11-28,2022-11-28 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-29,2022-11-29 09:15:00,NIFTY,HOLDING,18700.0,NIFTY22120118700CE,23.45,2022-11-29 09:15:00,NIFTY22120118700PE,163.75,2022-11-29 09:15:00,ENTRY
2022-11-29,2022-11-29 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-29,2022-11-29 09:15:02,BANKNIFTY,HOLDING,43200.0,BANKNIFTY22120143200CE,119.0,2022-11-29 09:15:02,BANKNIFTY22120143200PE,297.75,2022-11-29 09:15:02,ENTRY
2022-11-29,2022-11-29 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-30,2022-11-30 09:15:01,NIFTY,HOLDING,18750.0,NIFTY22120118750CE,14.0,2022-11-30 09:15:01,NIFTY22120118750PE,124.5,2022-11-30 09:15:01,ENTRY
2022-11-30,2022-11-30 15:29:59,NIFTY,FLAT,,,,,,,,SQUAREOFF
2022-11-30,2022-11-30 09:15:01,BANKNIFTY,HOLDING,43300.0,BANKNIFTY22120143300CE,82.6,2022-11-30 09:15:01,BANKNIFTY22120143300PE,245.5,2022-11-30 09:15:01,ENTRY
2022-11-30,2022-11-30 15:29:59,BANKNIFTY,FLAT,,,,,,,,SQUAREOFF
